Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-0018,L-0002,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,150200 - VIC/TAS - DO NOT DELETE,150200,Gross Up Elimination Actual,-1.0000,,0.00
I-0018,L-0003,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187653 - HLP VIC,MI187653,Gross Up Adjustment Actual,-1.0000,,0.00
I-0018,L-0004,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187653 - HLP VIC,MI187653,Gross Up Elimination Actual,1.0000,,0.00
I-0019,L-0000,0.00,1.00,SOPINC - Operating income,SOPINC,MI187655 - HLP WA,MI187655,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0019,L-0001,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,720971 - WA NRM Adj Ctr,720971,Gross Up Adjustment Actual,1.0000,,0.00
I-0019,L-0002,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,150240 - WA - DO NOT DELETE,150240,Gross Up Elimination Actual,-1.0000,,0.00
I-0019,L-0003,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187655 - HLP WA,MI187655,Gross Up Adjustment Actual,-1.0000,,0.00
I-0019,L-0004,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187655 - HLP WA,MI187655,Gross Up Elimination Actual,1.0000,,0.00
I-0020,L-0000,0.00,1.00,SOPINC - Operating income,SOPINC,MI187656 - HLP QLD,MI187656,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0020,L-0001,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,144171 - QLD NRM Adj Ctr,144171,Gross Up Adjustment Actual,1.0000,,0.00
I-0020,L-0002,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,150210 - QLD - DO NOT DELETE,150210,Gross Up Elimination Actual,-1.0000,,0.00
I-0020,L-0003,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187656 - HLP QLD,MI187656,Gross Up Adjustment Actual,-1.0000,,0.00
I-0020,L-0004,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187656 - HLP QLD,MI187656,Gross Up Elimination Actual,1.0000,,0.00
I-0021,L-0000,0.00,1.00,SOPINC - Operating income,SOPINC,MI187659 - HLP SA,MI187659,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0021,L-0001,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,113746 - SA/NT VCM Ctr,113746,Gross Up Adjustment Actual,1.0000,,0.00
I-0021,L-0002,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,150245 - SA/NT - DO NOT DELETE,150245,Gross Up Elimination Actual,-1.0000,,0.00
I-0021,L-0003,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187659 - HLP SA,MI187659,Gross Up Adjustment Actual,-1.0000,,0.00
I-0021,L-0004,1.00,1.00,,,,,,SOPINC - Operating income,SOPINC,MI187659 - HLP SA,MI187659,Gross Up Elimination Actual,1.0000,,0.00
I-0022,L-0000,0.00,1.00,SACCTS - Account structure,SACCTS,MICB2585 - WBC Micro Business Lending,MICB2585,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0022,L-0001,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,076503 - Business Finance - Consumer - Agg centre,076503,Gross Up Adjustment Actual,-1.0000,,0.00
I-0022,L-0002,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,090472 - SME Micro Centre,090472,Gross Up Elimination Actual,1.0000,,0.00
I-0023,L-0000,0.00,1.00,SACCTS - Account structure,SACCTS,MICB2691 - WBC Micro Business Deposits,MICB2691,Reportable Actual ex Gross up,,,,,,0.0000,,0.00
I-0023,L-0001,1.00,1.00,,,,,,SACCTS - Account structure,SACCTS,077026 - Business Deposits - Consumer - Agg centre,077026,Gross Up Adjustment Actual,-1.0000,,0.00
