Index1,Index2,Active Index,Active,From Account,From Account Principal Name,From Centre,From Centre Principal Name,From Product,From Product Principal Name,From Scenario,To Account,To Account Principal Name,To Centre,To Centre Principal Name,To Product,To Product Principal Name,To Scenario,Weight,ErrorValidation,ErrorValidationCount
I-1166,L-0000,0.00,1.00,LTDEP2 - Tailored deposits-NIB,LTDEP2,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1166,L-0001,1.00,1.00,,,,,,,,LTDEP2 - Tailored deposits-NIB,LTDEP2,505069 - CML WA Property HO,505069,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1166,L-0002,1.00,1.00,,,,,,,,LTDEP2 - Tailored deposits-NIB,LTDEP2,MISG1562 - STG WA Property,MISG1562,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1562 - STG WA Property"" ValidCode - Invalid Desc",2.00
I-1167,L-0000,0.00,1.00,INETII - Net interest income,INETII,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1167,L-0001,1.00,1.00,,,,,,,,INETII - Net interest income,INETII,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1167,L-0002,1.00,1.00,,,,,,,,INETII - Net interest income,INETII,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1168,L-0000,0.00,1.00,NOINTE - Non-interest income,NOINTE,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1168,L-0001,1.00,1.00,,,,,,,,NOINTE - Non-interest income,NOINTE,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1168,L-0002,1.00,1.00,,,,,,,,NOINTE - Non-interest income,NOINTE,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1169,L-0000,0.00,1.00,XDIREX - Direct expenses,XDIREX,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Reportable Actual ex Journal 1,,,,,,,,0.0000,"From Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
I-1169,L-0001,1.00,1.00,,,,,,,,XDIREX - Direct expenses,XDIREX,505073 - CML WA Industry HO,505073,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,1.0000,,0.00
I-1169,L-0002,1.00,1.00,,,,,,,,XDIREX - Direct expenses,XDIREX,MISG1106 - STG WA Industry,MISG1106,TPROD - Total Product for TPROD Hierarchy,TPROD,Journal 1 Actuals,-1.0000,"To Centre: ""MISG1106 - STG WA Industry"" ValidCode - Invalid Desc",2.00
